SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
BOGOTÁ,KENWORTH,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2020,61 a 120, Alto ,Medio,Liviano,PLATA,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,SCANIA,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CHASIS,DISTRACCION DEL CONDUCTOR
MEDELLÍN,KENWORTH,2015,61 a 120, Alto ,Fuerte,Pesado,BLANCO,VOLQUETA,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2004,31 a 60, Alto ,Fuerte,Pesado,BLANCO,FURGON,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,HINO,2020,61 a 120, Alto ,Medio,Pesado,GRIS,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,TOYOTA,2015,31 a 60, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,FALLA MECANICA
BUCARAMANGA,CHEVROLET,2019,61 a 120, Alto ,Medio,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,FORD,2013,31 a 60, Alto ,Medio,Liviano,BLANCO,CAMPERO,DISTRACCION DEL CONDUCTOR
BOGOTÁ,VOLVO,2017,31 a 60, Alto ,Fuerte,Liviano,NEGRO,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
PEREIRA,KENWORTH,2014,0 a 15, Alto ,Leve,Pesado,VERDE,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,CHEVROLET,2018,121 a 240, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
MEDELLÍN,NISSAN,2019,61 a 120, Alto ,Medio,Liviano,BLANCO,CAMPERO,DISTRACCION DEL CONDUCTOR
BOGOTÁ,CHEVROLET,2019,31 a 60, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,OBSTACULOS EN LA VIA
BARRANQUILLA,RENAULT,2020,61 a 120, Alto ,Fuerte,Liviano,ROJO,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2017,31 a 60, Alto ,Fuerte,Liviano,BLANCO,FURGON,VIOLACION DE NORMAS DE TRANSITO
BARRANQUILLA,HONDA,2020,16 a 30, Alto ,Fuerte,Liviano,ACERO,CAMIONETA PASAJEROS,VIOLACION DE NORMAS DE TRANSITO
BARRANQUILLA,KIA,2020,31 a 60, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2015,16 a 30, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,VOLKSWAGEN,2020,31 a 60, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
BOGOTÁ,HONDA,2014,0 a 15, Alto ,Fuerte,Liviano,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
BOGOTÁ,FOTON         ,2020,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
CALI,TOYOTA,2008,61 a 120, Alto ,Fuerte,Liviano,GRIS,CAMPERO,OBSTACULOS EN LA VIA
MEDELLÍN,CHEVROLET,2015,31 a 60, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
MEDELLÍN,KENWORTH,2012,61 a 120, Alto ,Fuerte,Pesado,GRIS,AUTOMOVIL,HURTO - HALADO
BOGOTÁ,INTERNATIONAL,2009,61 a 120, Alto ,Medio,Pesado,ROJO,REMOLCADOR,OBSTACULOS EN LA VIA
BARRANQUILLA,HYUNDAI,2016,61 a 120, Alto ,Fuerte,Liviano,ROJO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
MEDELLÍN,CHEVROLET,2013,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
BOGOTÁ,KENWORTH,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,DISTRACCION DEL CONDUCTOR
MANIZALES,SUBARU,2020,61 a 120, Alto ,Medio,Liviano,BRONCE,CAMPERO,DISTRACCION DEL CONDUCTOR
MEDELLÍN,CHEVROLET,2012,31 a 60, Alto ,Fuerte,Liviano,BLANCO,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
MANIZALES,CHEVROLET,2018,61 a 120, Alto ,Fuerte,Liviano,NO REGISTRA,AUTOMOVIL,EXCESO DE VELOCIDAD
MEDELLÍN,RENAULT,2017,31 a 60, Alto ,Fuerte,Liviano,GRIS,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
BOGOTÁ,INTERNATIONAL,2012,31 a 60, Alto ,Fuerte,Pesado,GRIS,REMOLCADOR,OBSTACULOS EN LA VIA
BUCARAMANGA,KIA,2017,31 a 60, Alto ,Medio,Liviano,ROJO,CAMIONETA PASAJEROS,FALLA MECANICA
CALI,FORD,2011,31 a 60, Alto ,Medio,Liviano,BLANCO,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,CHEVROLET,2020,61 a 120, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,TOYOTA,2009,121 a 240, Alto ,Fuerte,Liviano,GRIS,CAMPERO,DISTRACCION DEL CONDUCTOR
PEREIRA,CHEVROLET,2020,31 a 60, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,EXCESO DE VELOCIDAD
BOGOTÁ,KENWORTH,2012,16 a 30, Alto ,Fuerte,Pesado,OTROS,REMOLCADOR,DISTRACCION DEL CONDUCTOR
CALI,RENAULT,2015,31 a 60, Alto ,Medio,Liviano,GRIS,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
CALI,KIA,2021,61 a 120, Alto ,Medio,Liviano,GRIS,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,BMW,2013,121 a 240, Alto ,Fuerte,Liviano,PLATA,CAMPERO,DISTRACCION DEL CONDUCTOR
BOGOTÁ,HONDA,2016,16 a 30, Alto ,Fuerte,Liviano,PLATA,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BARRANQUILLA,NISSAN,2017,121 a 240, Alto ,Fuerte,Liviano,NO REGISTRA,CAMIONETA PASAJEROS,INCENDIO
MEDELLÍN,CHEVROLET,2012,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,RENAULT,2019,61 a 120, Alto ,Fuerte,Liviano,ROJO,CAMPERO,EXCESO DE VELOCIDAD
BOGOTÁ,CHEVROLET,2019,31 a 60, Alto ,Fuerte,Pesado,VERDE,REMOLCADOR,DISTRACCION DEL CONDUCTOR
BOGOTÁ,CHEVROLET,2014,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
MANIZALES,VOLKSWAGEN,2019,31 a 60, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,OBSTACULOS EN LA VIA
BUCARAMANGA,MAZDA,2019,31 a 60, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,KENWORTH,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
PEREIRA,CHEVROLET,2011,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,HINO,2021,61 a 120, Alto ,Leve,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BARRANQUILLA,KIA,2018,16 a 30, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
PEREIRA,MAZDA,2019,121 a 240, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
PEREIRA,MAZDA,2021,31 a 60, Alto ,Medio,Liviano,GRIS,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,VOLKSWAGEN,2020,121 a 240, Alto ,Medio,Liviano,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2007,61 a 120, Alto ,Fuerte,Pesado,ROJO,REMOLCADOR,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2018,31 a 60, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
PEREIRA,KIA,2014,61 a 120, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,OBSTACULOS EN LA VIA
PEREIRA,CHEVROLET,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,SUZUKI,2014,31 a 60, Alto ,Fuerte,Liviano,NEGRO,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
BARRANQUILLA,CHEVROLET,2021,16 a 30, Alto ,Fuerte,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,INTERNATIONAL,2012,61 a 120, Alto ,Medio,Pesado,AZUL,REMOLCADOR,DISTRACCION DEL CONDUCTOR
MEDELLÍN,MERCEDES BENZ,2017,31 a 60, Alto ,Medio,Liviano,BLANCO,AUTOMOVIL,OBSTACULOS EN LA VIA
BUCARAMANGA,KENWORTH,2013,0 a 15, Alto ,Medio,Pesado,AMARILLO,REMOLCADOR,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,CHEVROLET,2019,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CHASIS,OBSTACULOS EN LA VIA
MEDELLÍN,KENWORTH,2012,31 a 60, Alto ,Fuerte,Pesado,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2017,61 a 120, Alto ,Fuerte,Liviano,BLANCO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2013,16 a 30, Alto ,Fuerte,Pesado,OTROS,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,OTROS,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CARROTANQUE,DISTRACCION DEL CONDUCTOR
MEDELLÍN,MITSUBISHI,2016,241 a 480, Alto ,Fuerte,Liviano,PLATA,CAMPERO,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,SUZUKI,2020,31 a 60, Alto ,Fuerte,Liviano,PLATA,CAMPERO,DISTRACCION DEL CONDUCTOR
MEDELLÍN,TOYOTA,2019,61 a 120, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
CALI,SUZUKI,2017,61 a 120, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,HYUNDAI,2019,61 a 120, Alto ,Medio,Liviano,BLANCO,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,HINO,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
BOGOTÁ,HINO,2021,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,CHEVROLET,2014,61 a 120, Alto ,Medio,Pesado,ROJO,CAMION,DISTRACCION DEL CONDUCTOR
MANIZALES,RENAULT,2018,61 a 120, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,KIA,2017,31 a 60, Alto ,Fuerte,Liviano,ROJO,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,OTROS,2020,61 a 120, Alto ,Medio,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
CALI,CHEVROLET,2011,31 a 60, Alto ,Leve,Liviano,AZUL,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
MEDELLÍN,INTERNATIONAL,2015,16 a 30, Alto ,Medio,Pesado,GRIS,VOLQUETA,DISTRACCION DEL CONDUCTOR
BOGOTÁ,MERCEDES BENZ,2016,61 a 120, Alto ,Fuerte,Liviano,PLATA,CAMIONETA PASAJEROS,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,MERCEDES BENZ,2019,121 a 240, Alto ,Leve,Pesado,BLANCO,CHASIS,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,CHEVROLET,2019,31 a 60, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,OBSTACULOS EN LA VIA
BUCARAMANGA,FREIGHTLINER,2008,61 a 120, Alto ,Fuerte,Pesado,NEGRO,REMOLCADOR,INCENDIO
PEREIRA,KIA,2017,31 a 60, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,NISSAN,2019,31 a 60, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
PEREIRA,CHEVROLET,2018,31 a 60, Alto ,Fuerte,Liviano,PLATA,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BUCARAMANGA,TOYOTA,2017,16 a 30, Alto ,Medio,Liviano,GRIS,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,RENAULT,2015,16 a 30, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BOGOTÁ,INTERNATIONAL,2014,31 a 60, Alto ,Fuerte,Pesado,AZUL,CARROTANQUE,OBSTACULOS EN LA VIA
BOGOTÁ,INTERNATIONAL,2015,31 a 60, Alto ,Medio,Pesado,BLANCO,VOLQUETA,OBSTACULOS EN LA VIA
MANIZALES,VOLKSWAGEN,2011,31 a 60, Alto ,Medio,Liviano,GRIS,PICKUP DOBLE CABINA,FALLA MECANICA
BARRANQUILLA,INTERNATIONAL,2007,61 a 120, Alto ,Fuerte,Pesado,BLANCO,VOLQUETA,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,CHEVROLET,2013,61 a 120, Alto ,Medio,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,RENAULT,2019,31 a 60, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,OBSTACULOS EN LA VIA
MEDELLÍN,NISSAN,2019,61 a 120, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,SSANGYONG,2020,31 a 60, Alto ,Fuerte,Liviano,PLATA,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,CHEVROLET,2017,61 a 120, Alto ,Fuerte,Pesado,GRIS,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,NISSAN,2017,31 a 60, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,CHEVROLET,2018,61 a 120, Alto ,Fuerte,Pesado,NO REGISTRA,CAMION,DISTRACCION DEL CONDUCTOR
MEDELLÍN,VOLKSWAGEN,2015,61 a 120, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
BARRANQUILLA,INTERNATIONAL,2011,16 a 30, Alto ,Medio,Pesado,VERDE,CARROTANQUE,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2016,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,ENCONTRADO DAÑADO
BARRANQUILLA,CHEVROLET,2016,61 a 120, Alto ,Leve,Liviano,NO REGISTRA,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
MEDELLÍN,CHEVROLET,2012,31 a 60, Alto ,Fuerte,Pesado,GRIS,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Liviano,NO REGISTRA,AUTOMOVIL,FALLA MECANICA
MEDELLÍN,CHEVROLET,2020,61 a 120, Alto ,Fuerte,Liviano,PLATA,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
CALI,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2020,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,OBSTACULOS EN LA VIA
MEDELLÍN,MERCEDES BENZ,2016,31 a 60, Alto ,Leve,Liviano,NEGRO,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
PEREIRA,CHEVROLET,2014,31 a 60, Alto ,Medio,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
BOGOTÁ,KENWORTH,2011,61 a 120, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,FREIGHTLINER,2008,31 a 60, Alto ,Fuerte,Pesado,NARANJA,REMOLCADOR,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,HYUNDAI,2013,61 a 120, Alto ,Fuerte,Liviano,NEGRO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
CALI,CHEVROLET,2015,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CAMION,EXCESO DE VELOCIDAD
BUCARAMANGA,HYUNDAI,2019,61 a 120, Alto ,Fuerte,Liviano,PLATA,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BUCARAMANGA,AUDI,2018,0 a 15, Alto ,Medio,Liviano,GRIS,CAMPERO,DISTRACCION DEL CONDUCTOR
BOGOTÁ,BMW,2017,61 a 120, Alto ,Medio,Liviano,NEGRO,CAMPERO,OBSTACULOS EN LA VIA
PEREIRA,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,CHEVROLET,2018,61 a 120, Alto ,Fuerte,Pesado,NO REGISTRA,CAMION,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,FORD,2019,61 a 120, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,VOLKSWAGEN,2012,61 a 120, Alto ,Fuerte,Liviano,BLANCO,CAMPERO,DISTRACCION DEL CONDUCTOR
BOGOTÁ,HINO,2020,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
BOGOTÁ,MAZDA,2020,31 a 60, Alto ,Medio,Liviano,AZUL,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
CALI,HONDA,2016,121 a 240, Alto ,Fuerte,Liviano,ACERO,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2017,61 a 120, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2008,31 a 60, Alto ,Medio,Pesado,AZUL,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,HINO,2019,61 a 120, Alto ,Medio,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2008,31 a 60, Alto ,Fuerte,Pesado,VERDE,REMOLCADOR,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,EXCESO DE VELOCIDAD
CALI,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Liviano,NEGRO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
MEDELLÍN,MERCEDES BENZ,2017,61 a 120, Alto ,Fuerte,Liviano,BLANCO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
CALI,MERCEDES BENZ,2015,0 a 15, Alto ,Fuerte,Liviano,NO REGISTRA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
PEREIRA,HINO,2019,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,DISTRACCION DEL CONDUCTOR
CALI,MAZDA,2018,61 a 120, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,BMW,2019,31 a 60, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,BMW,2015,31 a 60, Alto ,Fuerte,Liviano,AZUL,AUTOMOVIL,OBSTACULOS EN LA VIA
MEDELLÍN,INTERNATIONAL,2013,61 a 120, Alto ,Fuerte,Pesado,AMARILLO,CAMION,DISTRACCION DEL CONDUCTOR
CALI,TOYOTA,2017,16 a 30, Alto ,Medio,Liviano,PLATA,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,MAZDA,2020,31 a 60, Alto ,Medio,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,MAZDA,2018,31 a 60, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,INUNDACION
BOGOTÁ,AUDI,2014,16 a 30, Alto ,Fuerte,Liviano,BLANCO,CAMION,FALLA MECANICA
BOGOTÁ,KENWORTH,2007,31 a 60, Alto ,Fuerte,Pesado,AZUL,REMOLCADOR,DISTRACCION DEL CONDUCTOR
BOGOTÁ,KENWORTH,2006,0 a 15, Alto ,Medio,Pesado,ROJO,REMOLCADOR,FALLA MECANICA
BOGOTÁ,BMW,2020,61 a 120, Alto ,Fuerte,Liviano,BLANCO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BARRANQUILLA,KENWORTH,2007,31 a 60, Alto ,Medio,Pesado,ROJO,REMOLCADOR,DISTRACCION DEL CONDUCTOR
BOGOTÁ,CHEVROLET,2020,61 a 120, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,MERCEDES BENZ,2016,61 a 120, Alto ,Medio,Liviano,PLATA,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,HINO,2019,121 a 240, Alto ,Medio,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2008,31 a 60, Alto ,Fuerte,Pesado,BLANCO,VOLQUETA,DISTRACCION DEL CONDUCTOR
BOGOTÁ,CHEVROLET,2019,16 a 30, Alto ,Fuerte,Liviano,PLATA,CAMPERO,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,TOYOTA,2020,61 a 120, Alto ,Fuerte,Liviano,GRIS,PICKUP DOBLE CABINA,ENCONTRADO DAÑADO
MEDELLÍN,MERCEDES BENZ,2019,16 a 30, Alto ,Medio,Liviano,NEGRO,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
MEDELLÍN,CHEVROLET,2015,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
MANIZALES,MITSUBISHI,2017,61 a 120, Alto ,Fuerte,Liviano,AZUL,CAMPERO,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2012,121 a 240, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
CALI,KIA,2020,61 a 120, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,FALLA MECANICA
BOGOTÁ,KENWORTH,2011,31 a 60, Alto ,Fuerte,Pesado,AMARILLO,REMOLCADOR,OBSTACULOS EN LA VIA
BARRANQUILLA,VOLKSWAGEN,2020,31 a 60, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,CHEVROLET,2019,31 a 60, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
CALI,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Liviano,NO REGISTRA,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
PEREIRA,KIA,2020,31 a 60, Alto ,Fuerte,Liviano,BLANCO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
CALI,CHEVROLET,2013,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
CALI,VOLKSWAGEN,2013,61 a 120, Alto ,Fuerte,Liviano,AZUL,PICKUP DOBLE CABINA,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,MERCEDES BENZ,2011,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,HINO,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
BOGOTÁ,BMW,2017,61 a 120, Alto ,Fuerte,Liviano,BLANCO,CAMPERO,DISTRACCION DEL CONDUCTOR
